,SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
count,42452,42452,42452,42452,42452,42451,42404,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42451,42452,42452,42452,42452,42452,42452,42452,42452,42452,42361,33486,42347,42347,42347,42347,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,42452,36021,36021,36021,36021,36021,36021
mean,277315.1766,0.47368793,0.439908603,167992.5191,580782.0515,26890.14916,517317.7951,0.020061134,-15541.24062,55200.6371,-4765.724655,-2881.686705,1,0.843894281,0.218293602,0.998021295,0.267596344,0.056157543,2.168547266,2.098558372,2.078205974,11.95441911,0.016300763,0.052883256,0.04115236,0.097003675,0.261094884,0.195114482,0.47020066,0.460125495,1.461921742,0.166812289,1.443691407,0.117930432,-899.2978894,9.42E-05,0.738269104,7.07E-05,0.015382079,0.077805522,0.000188448,0.07799397,0.003415622,2.36E-05,0.003344954,0,0.00242627,0.002237822,0.000800905,0.008079714,9.42E-05,0.006925469,0.000612456,0.000424008,0.000447564,0.006551734,0.006884873,0.035340496,0.253046834,0.26156964,1.952250076
std,102659.4478,0.499313076,0.735970713,574785.9167,379497.4303,13716.49453,346876.9638,0.012949094,4339.512229,133340.2931,3446.768936,1523.892866,0,0.362959815,0.413092635,0.044439134,0.442711145,0.230228412,0.926472906,0.510095295,0.504773477,3.276658589,0.126631063,0.223803033,0.198644842,0.295966257,0.439236713,0.396293478,0.206935783,0.208263705,2.354274764,0.482383123,2.331906068,0.394102831,803.0592025,0.009706565,0.439582058,0.008406231,0.123068383,0.267868461,0.013726509,0.268165256,0.058344118,0.004853454,0.05773945,0,0.049197966,0.047253215,0.028289255,0.089524413,0.009706565,0.082931711,0.024740569,0.020587338,0.02115123,0.082717214,0.101664732,0.203523348,0.851110228,0.624537382,1.893000272
min,100002,0,0,25650,45000,2173.5,45000,0.00029,-25192,-16836,-20514,-6383,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5.00E-06,0.000527265,0,0,0,0,-4121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,188808,0,0,112500,276277.5,16875,238500,0.010006,-19039,-2504,-7116,-4228,1,1,0,1,0,0,2,2,2,10,0,0,0,0,0,0,0.313140879,0.297086612,0,0,0,0,-1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50%,276289,0,0,144000,507339,25056,450000,0.018801,-15083.5,-1120,-4296,-3058,1,1,0,1,0,0,2,2,2,12,0,0,0,0,0,0,0.520409392,0.474051289,0,0,0,0,-685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75%,366068.5,1,1,202500,781920,34128,675000,0.026392,-11893,-331,-1848,-1553,1,1,0,1,1,0,3,2,2,14,0,0,0,0,1,0,0.638548008,0.631354537,2,0,2,0,-241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
max,456242,1,11,117000000,4027680,225000,3600000,0.072508,-7678,365243,0,-1,1,1,1,1,1,1,13,3,3,23,1,1,1,1,1,1,0.854999666,0.896009549,30,6,29,5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,6,6,18,19,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,DAYS_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,count,42452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,mean,55200.6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,std,133340.2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,min,-16836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,25%,-2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,50%,-1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75%,-331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,max,365243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
